Murrunkan-1,Pavattakulam-1,Nachchiduva-1,Vavniya-1,Mannr-1,Apura-1,Kappachichiya-1,Murrunkan,Pavattakulam,Nachchiduva,Vavniya,Mannr,Apura,Kappachichiya
25.2,0,0,0,11.4,0,4.38,38.7,0,0,0,0,0,0.032
38.7,0,0,0,0,0,3.2,0,41,24.09,30.1,50.3,90.3,0.0394
0,41,24.09,30.1,50.3,90.3,3.94,68.4,9,57.82,36.3,20.4,17.8,0.3339
68.4,9,57.82,36.3,20.4,17.8,33.39,40.5,8,49.79,3.7,18.7,27.8,0.3525
40.5,8,49.79,3.7,18.7,27.8,35.25,10.8,15,0,0,0,0,0.3837
10.8,15,0,0,0,0,38.37,0,0,0,0,1,0,0.205
0,0,0,0,1,0,20.5,0,0,0,0,0,0,0.2179
0,0,0,0,0,0,21.79,0,0,0,1.6,1,0.3,0.0763
0,0,0,1.6,1,0.3,7.63,4.5,0,0,0,7.4,0,0.0691
4.5,0,0,0,7.4,0,6.91,18.9,0,0,13,0,3.4,0.0563
18.9,0,0,13,0,3.4,5.63,3.6,0.3,0,6.6,0,0,0.047
3.6,0.3,0,6.6,0,0,4.7,0,0.3,25.7,7.2,0,0,0.0483
0,0.3,25.7,7.2,0,0,4.83,0,0,0,0,0,0,0.0469
0,0,0,0,0,0,4.69,0,0,0,0,0,0,0.0402
0,0,0,0,0,0,4.02,0,0,0,0,0,0,0.0343
0,0,0,0,0,0,3.43,0,0,0,0,0,0,0.0294
0,0,0,0,0,0,2.94,0,0,0,0,0,0,0.0306
0,0,0,0,0,0,3.06,0,0,0,0,0,0,0.0237
0,0,0,0,0,0,2.37,0,0,0,0,0,0,0.0233
0,0,0,0,0,0,2.33,0,0,0,0,0,0,0.0216
0,0,0,0,0,0,2.16,0,0,0,0,0,0,0.0216
0,0,0,0,0,0,2.16,0,0,0,0,0,0,0.0207
0,0,0,0,0,0,2.07,0,0,0,0,0,0,0.0173
0,0,0,0,0,0,1.73,0,0,0,0,0,0,0.0188
0,0,0,0,0,0,1.88,0,0,0,0.5,0,0,0.0141
0,0,0,0.5,0,0,1.41,0,0,0,6.1,0,0,0.0136
0,0,0,6.1,0,0,1.36,0,0,0,0,0,0,0.0142
0,0,0,0,0,0,1.42,0,0,24.09,0,0,11.9,0.0149
0,0,24.09,0,0,11.9,1.49,0,0,56.21,1.5,0,0.4,0.0155
0,0,56.21,1.5,0,0.4,1.55,0,0,0,0,0.7,0,0.0381
0,0,0,0,0.7,0,3.81,0,0,0,3.1,0,31.4,0.0644
0,0,0,3.1,0,31.4,6.44,0,0,35.33,0,0,0,0.0926
0,0,35.33,0,0,0,9.26,0,0,0,0,0,0,0.0741
0,0,0,0,0,0,7.41,0,0,0,0,0,0,0.0552
0,0,0,0,0,0,5.52,0,0,0,0,0,0,0.043
0,0,0,0,0,0,4.3,0,0,0,0,0,0,0.0328
0,0,0,0,0,0,3.28,0,0,0,0,0,0,0.0272
0,0,0,0,0,0,2.72,0,0,0,0,0,0,0.0227
0,0,0,0,0,0,2.27,0,0,0,0,0,0,0.0191
0,0,0,0,0,0,1.91,0,0,0,12.2,0,0,0.0172
0,0,0,12.2,0,0,1.72,0,0,0,45,0,0.5,0.0158
0,0,0,45,0,0.5,1.58,0,0,0,5.3,0,0,0.0195
0,0,0,5.3,0,0,1.95,0,0,24.09,0,0,0,0.0242
0,0,24.09,0,0,0,2.42,0,0,19.27,16.9,0,6.3,0.0296
0,0,19.27,16.9,0,6.3,2.96,0,18,0,54.5,10.2,14.5,0.0373
0,18,0,54.5,10.2,14.5,3.73,14.4,29,0,2.8,0,0,0.0472
14.4,29,0,2.8,0,0,4.72,0,29,8.03,14.8,0,23.3,0.0569
0,29,8.03,14.8,0,23.3,5.69,0,0,0,0,38.7,0,0.142
0,0,0,0,38.7,0,14.2,45,0,0,0,2.6,0,0.1299
45,0,0,0,2.6,0,12.99,0,0,35.33,3.9,0,45.3,0.1414
0,0,35.33,3.9,0,45.3,14.14,0,0,0,0,4.8,0.5,0.1632
0,0,0,0,4.8,0.5,16.32,1.8,0,0,0,0,0.7,0.1495
1.8,0,0,0,0,0.7,14.95,0,0,0,0,0,0,0.1081
0,0,0,0,0,0,10.81,0,0,0,0,0,0,0.0897
0,0,0,0,0,0,8.97,0,0,0,0,0,0,0.0653
0,0,0,0,0,0,6.53,0,0,0,0,0,0,0.0597
0,0,0,0,0,0,5.97,0,0,0,0,0,0,0.0527
0,0,0,0,0,0,5.27,0,0,0,0,0,0,0.0458
0,0,0,0,0,0,4.58,0,0,0,0,0,0,0.0414
0,0,0,0,0,0,4.14,0,0,0,0,0,0,0.0469
0,0,0,0,0,0,4.69,0,0,0,0,0,0,0.0502
0,0,0,0,0,0,5.02,0,0,0,0,0,0,0.0566
0,0,0,0,0,0,5.66,0,0,0,0,0,0,0.0618
0,0,0,0,0,0,6.18,0,0,3.21,15.3,0,0,0.0661
0,0,3.21,15.3,0,0,6.61,0,0,1.61,0.7,0,66.1,0.0646
0,0,1.61,0.7,0,66.1,6.46,0,38,0,3.6,0,0,0.111
0,38,0,3.6,0,0,11.1,0,0,0,0,0,0,0.2956
0,0,0,0,0,0,29.56,0,0,0,0,0,4.6,0.1111
0,0,0,0,0,4.6,11.11,0,38,0,6.7,0,0.4,0.1038
0,38,0,6.7,0,0.4,10.38,0,0,14.45,0,0,1.8,0.0991
0,0,14.45,0,0,1.8,9.91,0,0,0,0,0,0,0.0902
0,0,0,0,0,0,9.02,0,0,0,0,0,0,0.0808
0,0,0,0,0,0,8.08,0,0,0,0,0,0,0.0685
0,0,0,0,0,0,6.85,0,0,0,0,0,0,0.0707
0,0,0,0,0,0,7.07,0,0,0,0,0,0,0.0707
0,0,0,0,0,0,7.07,0,0,0,0,0,0,0.0692
0,0,0,0,0,0,6.92,0,0,0,0,0,0,0.0692
0,0,0,0,0,0,6.92,0,0,0,0,0,0,0.0676
0,0,0,0,0,0,6.76,13.05,0,0,1.5,0,1.3,0.0676
13.05,0,0,1.5,0,1.3,6.76,0,0,0,0,0,0,0.0676
0,0,0,0,0,0,6.76,0,0,0,0,0,0,0.0661
0,0,0,0,0,0,6.61,0,0,0,0,0,0,0.0661
0,0,0,0,0,0,6.61,0,0,0,0,0,0,0.0692
0,0,0,0,0,0,6.92,0,0,0,0,0,0,0.0633
0,0,0,0,0,0,6.33,0,0,0,0,0,0,0.0557
0,0,0,0,0,0,5.57,0,0,0,0,0,0,0.0509
0,0,0,0,0,0,5.09,0,0,0,0,0,0,0.0474
0,0,0,0,0,0,4.74,0,0,0,0,0,0.8,0.0502
0,0,0,0,0,0.8,5.02,0,0,0,0,0,0,0.048
0,0,0,0,0,0,4.8,0,0,0,0,0,0.7,0.048
0,0,0,0,0,0.7,4.8,0,0,0,0,0,1.8,0.0467
0,0,0,0,0,1.8,4.67,0,0,0,0,0,0,0.0467
0,0,0,0,0,0,4.67,0,0,0,0,0,0,0.048
0,0,0,0,0,0,4.8,0,0,0,0,0,0,0.048
0,0,0,0,0,0,4.8,0,0,0,0,0,0,0.0467
0,0,0,0,0,0,4.67,0,0,0,0,0,0,0.0467
0,0,0,0,0,0,4.67,0,0,0,0,0,0,0.0467
0,0,0,0,0,0,4.67,0,0,0,0,0,0,0.048
0,0,0,0,0,0,4.8,0,0,0,0,0,0,0.0492
0,0,0,0,0,0,4.92,0,0,0,0,0,0,0.0409
0,0,0,0,0,0,4.09,0,0,0,0,0,0,0.0336
0,0,0,0,0,0,3.36,0,0,0,0,0,0,0.0405
0,0,0,0,0,0,4.05,0,0,0,0,0,0,0.0451
0,0,0,0,0,0,4.51,0,0,0,0,0,0,0.0469
0,0,0,0,0,0,4.69,0,0,0,0,0,0,0.0566
0,0,0,0,0,0,5.66,0,0,0,0,0,0,0.0521
0,0,0,0,0,0,5.21,0,0,0,0,0,0,0.0483
0,0,0,0,0,0,4.83,0,0,0,0,0,0,0.0424
0,0,0,0,0,0,4.24,0,0,0,0,0,0,0.0348
0,0,0,0,0,0,3.48,0,0,0,0,0,0,0.0291
0,0,0,0,0,0,2.91,0,0,0,0,0,0,0.0357
0,0,0,0,0,0,3.57,0,0,0,0,0,0,0.039
0,0,0,0,0,0,3.9,0,0,0,0,0,0,0.0477
0,0,0,0,0,0,4.77,0,0,0,0,0,0,0.0453
0,0,0,0,0,0,4.53,0,0,0,0,0,0,0.0426
0,0,0,0,0,0,4.26,0,0,0,0,0,0,0.0351
0,0,0,0,0,0,3.51,0,0,0,0,0,0,0.028
0,0,0,0,0,0,2.8,0,0,0,0,0,0,0.0304
0,0,0,0,0,0,3.04,0,0,0,0,0,0,0.0387
0,0,0,0,0,0,3.87,0,0,0,0,0,0,0.0448
0,0,0,0,0,0,4.48,0,0,0,0,0,0,0.0453
0,0,0,0,0,0,4.53,0,0,0,0,0,0,0.0393
0,0,0,0,0,0,3.93,0,0,0,0,0,0,0.0351
0,0,0,0,0,0,3.51,0,0,0,0,0,0,0.0318
0,0,0,0,0,0,3.18,0,0,0,0,0,0,0.0328
0,0,0,0,0,0,3.28,0,0,0,0,0,0,0.0339
0,0,0,0,0,0,3.39,0,0,0,0,0,0,0.0347
0,0,0,0,0,0,3.47,0,0,0,0,0,0,0.0475
0,0,0,0,0,0,4.75,0,0,0,0,0,0,0.0469
0,0,0,0,0,0,4.69,0,0,0,0,0,0,0.0441
0,0,0,0,0,0,4.41,0,0,0,0,0,0,0.0331
0,0,0,0,0,0,3.31,0,0,0,0,0,0,0.0328
0,0,0,0,0,0,3.28,0,0,0,0,0,0,0.0318
0,0,0,0,0,0,3.18,0,0,0,0,0,0,0.0262
0,0,0,0,0,0,2.62,0,0,0,0,0,0,0.0195
0,0,0,0,0,0,1.95,0,0,0,0,0,0,0.0181
0,0,0,0,0,0,1.81,0,0,0,0,0,0,0.0282
0,0,0,0,0,0,2.82,0,0,0,0,0,0,0.0426
0,0,0,0,0,0,4.26,0,0,0,0,0,0,0.0351
0,0,0,0,0,0,3.51,0,0,0,0,0,0,0.0326
0,0,0,0,0,0,3.26,0,0,0,0,0,0,0.0283
0,0,0,0,0,0,2.83,0,0,0,0,0,0,0.0221
0,0,0,0,0,0,2.21,0,0,0,0,0,0,0.0192
